Number_of_Stations: 5394
Stat_ID    Easting_x    Norting_Y   Altitude  Longitude    Latitude   Bl_ID   Start_Date     End_Date   State   data_avail  geoQualLev   Station_Name 
  00172   4329674.40   5793341.48     395.00    9.50560    52.24860      -9   1951-01-01   1991-11-30      XX      100.00%           9   Annaturm
  00173   4206526.19   5459439.50     200.00    7.97190    49.20280      -9   1951-01-01   2001-12-31      XX      100.00%           9   Annweiler
  00174   4206784.49   5457842.78     250.00    7.97660    49.18860      -9   1984-03-01   1987-12-31      XX      100.00%          10   Annweiler-Bindersbach
  00175   4396371.80   5463009.37     413.00   10.57510    49.29640      -9   1951-01-01   1976-04-30      XX      100.00%           5   Ansbach
  00177   4396877.73   5465157.86     418.00   10.58150    49.31580      -9   1947-05-01   1957-10-30      XX      100.00%           5   Ansbach-Hennenbach
  00178   4393505.87   5463409.01     418.00   10.53560    49.29950      -9   1986-04-01   2015-12-31      XX      100.00%           3   Ansbach-Schalkhausen
  00179   4420150.70   5306908.37     664.00   10.93200    47.89630      -9   1941-01-01   2005-11-30      XX       98.46%           9   Apfeldorf
  00180   4465279.34   5655025.99     205.00   11.50500    51.03060      -9   1951-01-01   2000-12-31      XX      100.00%           9   Apolda
  00182   4465272.49   5860808.96      33.00   11.48410    52.88020      -9   1951-01-01   2015-12-31      XX       98.21%           1   Arendsee/Altmark,_Luftkurort
  00183   4592503.10   6061836.22      42.00   13.43430    54.67920      -9   1951-01-01   2015-12-31      XX      100.00%           3   Arkona
  00184   4500520.74   5838063.28      55.00   12.00770    52.67690      -9   1969-01-01   2002-12-31      XX       95.57%           9   Arneburg
  00185   4366299.59   6057263.15       3.00    9.92940    54.62890      -9   1946-01-01   1976-12-31      XX      100.00%           5   Arnis
  00186   4226537.78   5700806.05     218.00    8.07130    51.37730      -9   1941-01-01   1998-09-30      XX       96.54%           9   Arnsberg
  00187   4215753.00   5706024.53     265.00    7.91260    51.41880      -9   1941-01-01   2015-11-30      XX       97.33%           1   Arnsberg-Holzen
  00188   4427240.79   5635329.26     267.00   10.96670    50.85000      -9   1969-01-01   1990-12-31      XX      100.00%          10   Arnstadt
  00189   4355070.80   5545243.43     265.00    9.97710    50.02700      -9   1941-01-01   2005-12-31      XX       96.93%           9   Arnstein-Altbessingen
  00190   4351764.45   5539491.28     202.00    9.93320    49.97450      -9   1971-01-01   2002-12-31      XX      100.00%           9   Arnstein-Marbach
  00191   4350178.32   5538978.89     220.00    9.91130    49.96950      -9   1986-04-01   2015-12-31      XX       99.98%           3   Arnstein-Muedesheim
  00192   4559977.98   5380077.52     385.00   12.81260    48.55650      -9   1941-01-01   2005-12-31      XX       98.46%           9   Arnstorf
